"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.06.2021","306,45","306,19","306,91","303,34","31,55M","0,11%"
"29.06.2021","306,10","308,70","309,23","303,66","33,94M","-1,09%"
"28.06.2021","309,48","311,77","312,06","309,13","19,46M","-0,75%"
"25.06.2021","311,81","310,58","312,50","309,82","22,60M","0,58%"
"24.06.2021","310,00","309,80","311,20","308,84","19,73M","0,07%"
"23.06.2021","309,79","310,45","312,00","308,69","24,83M","0,02%"
"22.06.2021","309,73","310,79","311,17","308,13","23,54M","-0,22%"
"21.06.2021","310,40","308,47","310,40","306,56","36,13M","0,36%"
"18.06.2021","309,30","312,90","313,82","308,13","62,46M","-1,47%"
"17.06.2021","313,90","311,00","315,42","310,46","44,32M","0,73%"
"16.06.2021","311,61","312,50","314,54","311,03","38,25M","-0,29%"
"15.06.2021","312,51","314,14","315,60","312,40","29,74M","-0,51%"
"14.06.2021","314,12","313,48","314,87","310,40","25,52M","0,36%"
"11.06.2021","313,00","314,88","315,08","312,50","21,92M","-0,51%"
"10.06.2021","314,62","314,87","316,58","313,76","29,21M","-0,05%"
"09.06.2021","314,78","315,00","315,90","312,90","25,15M","-0,02%"
"08.06.2021","314,83","315,29","316,18","312,50","34,94M","-0,22%"
"07.06.2021","315,53","310,03","316,00","308,57","40,20M","1,48%"
"04.06.2021","310,94","313,00","313,00","307,60","37,13M","-0,47%"
"03.06.2021","312,41","314,81","315,71","309,87","34,55M","-0,50%"
"02.06.2021","313,98","311,60","314,00","310,61","27,01M","0,76%"
"01.06.2021","311,60","312,60","314,17","310,03","37,66M","0,26%"
"31.05.2021","310,79","309,30","312,60","308,82","23,68M","0,40%"
"28.05.2021","309,56","313,30","314,00","309,06","35,48M","-1,01%"
"27.05.2021","312,72","306,39","313,90","305,72","70,75M","1,86%"
"26.05.2021","307,01","307,84","309,50","305,33","35,36M","0,07%"
"25.05.2021","306,80","301,77","307,40","301,57","37,55M","2,03%"
"24.05.2021","300,70","302,02","304,75","299,59","30,83M","-0,18%"
"21.05.2021","301,23","296,85","302,98","294,90","51,42M","1,52%"
"20.05.2021","296,72","297,94","298,37","293,00","58,51M","-0,09%"
"19.05.2021","297,00","304,38","304,88","295,10","71,75M","-2,87%"
"18.05.2021","305,78","305,01","306,62","303,33","35,50M","0,61%"
"17.05.2021","303,94","303,50","305,24","301,01","28,38M","-0,05%"
"14.05.2021","304,10","308,20","308,24","302,33","26,86M","-0,86%"
"13.05.2021","306,74","302,11","306,86","299,33","57,72M","1,56%"
"12.05.2021","302,02","307,39","309,24","302,00","56,14M","-1,67%"
"11.05.2021","307,16","303,00","309,48","301,00","79,95M","-4,07%"
"10.05.2021","320,19","318,26","320,19","314,31","59,25M","0,71%"
"07.05.2021","317,94","316,00","319,16","315,48","56,43M","1,02%"
"06.05.2021","314,72","306,29","314,98","306,25","62,57M","2,85%"
"05.05.2021","305,99","304,01","306,03","302,71","41,72M","0,75%"
"04.05.2021","303,70","298,70","304,23","298,20","60,46M","2,01%"
"30.04.2021","297,73","296,92","298,10","295,03","35,68M","0,21%"
"29.04.2021","297,10","301,00","301,84","294,79","57,08M","-0,47%"
"28.04.2021","298,49","299,00","299,26","295,89","40,62M","-0,00%"
"27.04.2021","298,50","295,74","300,25","295,61","62,85M","1,09%"
"26.04.2021","295,27","294,30","296,48","293,10","45,76M","0,71%"
"23.04.2021","293,19","293,10","294,20","290,78","42,65M","0,35%"
"22.04.2021","292,18","289,04","294,67","286,93","73,63M","1,01%"
