"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"09.09.2021","324,57","326,00","328,14","323,50","40,57M","-0,92%"
"08.09.2021","327,60","328,49","328,50","322,22","58,86M","-0,04%"
"07.09.2021","327,73","329,93","333,00","325,50","72,18M","-0,36%"
"06.09.2021","328,93","319,00","329,35","318,60","80,21M","3,46%"
"03.09.2021","317,94","312,70","317,96","311,16","63,68M","1,81%"
"02.09.2021","312,30","313,59","314,80","310,30","53,41M","-0,19%"
"01.09.2021","312,89","306,60","313,95","306,19","79,52M","2,37%"
"31.08.2021","305,65","305,83","307,67","304,10","64,37M","0,16%"
"30.08.2021","305,17","301,70","305,50","299,97","69,97M","1,84%"
"27.08.2021","299,66","295,80","300,00","294,81","34,15M","1,81%"
"26.08.2021","294,34","296,00","296,00","293,04","25,01M","-0,80%"
"25.08.2021","296,70","298,70","299,20","294,37","30,92M","-0,67%"
"24.08.2021","298,70","299,00","301,00","295,95","49,07M","0,34%"
"23.08.2021","297,69","294,70","297,94","294,10","38,10M","1,75%"
"20.08.2021","292,57","293,80","294,90","289,50","38,65M","-0,38%"
"19.08.2021","293,68","293,46","294,72","289,68","56,28M","-0,46%"
"18.08.2021","295,05","299,00","299,95","295,00","35,62M","-1,10%"
"17.08.2021","298,32","295,13","299,50","290,32","50,52M","1,09%"
"16.08.2021","295,10","291,47","295,48","290,95","32,41M","0,82%"
"13.08.2021","292,70","292,70","293,90","291,75","21,92M","-0,18%"
"12.08.2021","293,23","290,30","293,81","290,25","37,65M","0,99%"
"11.08.2021","290,35","288,97","291,49","287,12","37,96M","0,60%"
"10.08.2021","288,61","288,00","288,80","285,70","28,93M","0,67%"
"09.08.2021","286,68","282,25","287,90","280,80","68,96M","1,56%"
"06.08.2021","282,27","285,26","285,72","277,87","90,79M","-1,29%"
"05.08.2021","285,95","287,33","288,28","285,16","47,27M","-0,69%"
"04.08.2021","287,94","287,88","288,80","286,00","23,63M","0,30%"
"03.08.2021","287,09","286,75","288,05","284,34","27,07M","0,12%"
"02.08.2021","286,75","287,88","289,48","285,21","38,39M","-0,21%"
"30.07.2021","287,35","285,02","287,58","283,28","46,77M","0,12%"
"29.07.2021","287,00","283,97","287,75","283,58","41,35M","1,70%"
"28.07.2021","282,20","277,88","282,98","277,70","32,86M","1,48%"
"27.07.2021","278,08","280,18","280,83","276,84","28,47M","-1,06%"
"26.07.2021","281,05","277,37","281,37","276,70","27,44M","0,55%"
