source	id	title	theme	author	textdate	tags	URL	Author_profession	About_author
Arzamas	154	Потерянная анимация Терри Гиллиама  •  	['Искусство']		26.10.2015	[]	http://arzamas.academy/mag/154-terry-gilliam		
Arzamas	285	«Отвратительная мерзость»: как великих композиторов ругали современники  •  	['Искусство']	Ика Мунипова	20.06.2016	[]	http://arzamas.academy/mag/285-rant	Историк театра и кино, режиссер	Выпускница Института филологии и истории (кафедра театра и кино) и Высших курсов сценаристов и режиссеров (мастерская Владимира Хотиненко). Занималась исследованием рисунков Эйзенштейна в аспирантуре отделения филологии философского факультета Эрфуртского университета (Германия).
Arzamas	389	Как откопали Ричарда III  •  	['История', 'Антропология']	Ирина Калитеевская	21.12.2016	['Интервью', 'Эксперт']	http://arzamas.academy/mag/389-richard	Редактор Arzamas.academy	
Arzamas	110	Товстоногов как икона стиля  •  	['Искусство']		08.09.2015	[]	http://arzamas.academy/mag/110-tovstonogov		
Arzamas	94	«А кротов я, государь, всех повыгнал»: жалоба садовника царю Михаилу Федоровичу  •  	['История']		30.07.2015	[]	http://arzamas.academy/mag/94-kro		
Arzamas	352	Советский писатель внутри Большого террора. Глава 3  •  	['Литература', 'История']	Илья Венявкин	23.09.2016	['СССР']	http://arzamas.academy/mag/352-terror3Историк советской литературы и культуры	Кандидат исторических наук. Креативный директор Фонда Егора Гайдара. Один из участников сетевого проекта «Прожито», создающего полный электронный корпус дневников советского времени.	
Arzamas	90	Как изучать русских чертей  •  	['Антропология']		08.07.2015	[]	http://arzamas.academy/mag/90-hells-bells		
Arzamas	107	Инфографика недели: религия  •  	['История', 'Антропология']	Дмитрий Голубовский	09.10.2015	[]	http://arzamas.academy/mag/107-infographic-religion	Журналист, редактор	Директор департамента стикеров и эмодзи Arzamas. Кандидат исторических наук. <nobr>В 2011–2014 годах</nobr> — главный редактор журнала Esquire.
Arzamas	340	Как Ильф и Петров ездили в Америку  •  	['Литература', 'История']	Мария Котова	31.08.2016	['Документ', 'Америка']	http://arzamas.academy/mag/340-usa	Историк литературы	Кандидат филологических наук, ведущий научный сотрудник, руководитель научного отдела Государственного музея М. А. Булгакова. Автор ряда статей о русской литературе XX века и соавтор нескольких монографий, в том числе «В лабиринтах романа-загадки. Комментарий к роману В. П. Катаева „Алмазный мой венец“» (в соавторстве с О. Лекмановым, при участии Л. Видгофа) и «О. Мандельштам. „Египетская марка“. Пояснения для читателя» (составители: М. Котова, О. Лекманов, О. Репина, <nobr>А. Сергеева-Клятис,</nobr> С. Синельников).
Arzamas	180	Книги недели: выбор «Фаланстера»  •  	[]	Борис Куприянов	12.11.2015	[]	http://arzamas.academy/mag/180-tataryetc	Издатель, публицист	Один из учредителей книжного магазина «Фаланстер», программный директор Международного московского открытого книжного фестиваля, член экспертного совета Международной ярмарки интеллектуальной литературы non/fiction.
Arzamas	339	Как приворожить возлюбленного: 10 шагов к успеху  •  	['Антропология', 'История']	Алена Чепель	05.09.2016	['Инструкция', 'Документ', 'Отношения']	http://arzamas.academy/mag/339-privorot	Филолог, историк Античности	Докторант Университета Рединга (University of Reading), научный сотрудник лаборатории античной культуры Школы актуальных гуманитарных исследований РАНХиГС.
Arzamas	178	Игра недели: «Игра в сецессию»  •  	['История']	Дмитрий Голубовский	12.11.2015	[]	http://arzamas.academy/mag/178-secession-game	Журналист, редактор	Директор департамента стикеров и эмодзи Arzamas. Кандидат исторических наук. <nobr>В 2011–2014 годах</nobr> — главный редактор журнала Esquire.
Arzamas	434	Как читать «Приключения Бибигона»  •  	['Литература', 'История']		12.06.2017	['Что читать', 'СССР', 'Мифы']	http://arzamas.academy/mag/434-bibigon		
Arzamas	156	Камиль Сен-Санс дирижирует собственной музыкой  •  	['Искусство']		04.11.2015	[]	http://arzamas.academy/mag/156-saint-saens		
Arzamas	116	Пивоваров, сокровища Тотьмы, советские автобусные остановки  •  	['Искусство']	Лиза Биргер	19.10.2015	[]	http://arzamas.academy/mag/116-pivovarov	Журналист, литературный критик	
Arzamas	415	Дневник московского подростка о жизни в 1941–1943 годах  •  	['Антропология', 'История']	Илья Венявкин	15.03.2017	['Документ', 'Воспоминания', 'СССР']	http://arzamas.academy/mag/415-orlov	Историк советской литературы и культуры	Кандидат исторических наук. Креативный директор Фонда Егора Гайдара. Один из участников сетевого проекта «Прожито», создающего полный электронный корпус дневников советского времени.
Arzamas	390	7 секретов романа «Мы»  •  	['Литература']	Олег Лекманов	09.01.2017	['Шпаргалка', 'СССР']	http://arzamas.academy/mag/390-us	Доктор филологических наук, профессор школы филологии факультета гуманитарных наук НИУ ВШЭ	Историк литературы. Автор монографий «Книга об акмеизме и другие работы» (2000), «Статьи и заметки о школьной литературе» (в соавторстве с М. И. Свердло&shy;вым, 2001), «„Рождественские стихи“ Иосифа Бродского» (в со&shy;авторстве с А. Ю. Сергеевой-Клятис, 2002), «В лабиринтах романа-загадки. Комментарий к роману В. П. Катаева „Алмазный мой венец“» (в соавторстве с М. Ко&shy;то&shy;вой, при участии Л. Вид&shy;гофа; 2004), http://community.livejournal.com/ru_lit/206083.html «Опыт коллективного комментария к „Вступлению“ поэмы Тимура Кибирова „Сквозь прощальные слезы“», «О трех акмеистических книгах. М. Зенке&shy;вич. В. Нарбут. О. Мандельштам» (2006), «Осип Мандельштам. Жизнь поэта» (серия «Жизнь замечательных людей», 2009), «Mandelstam» (Boston, 2010), «Сергей Есенин. Биография. Издание второе, исправленное и дополненное» (в соавторстве с М. И. Свердловым, 2011), «О. Мандельштам. „Египетская марка“. Пояснения для читателя» (сост. О. Лекманов, М. Котова, О. Репина, А. Сергеева-Клятис, С. Синельников; 2012), «Поэты и газеты. Очерки» (2013), «Русская поэзия в 1913 году» (2014), <a href= http://www.ruthenia.ru/document/551883.html target=_blank>«Из опыта пристального чтения русской прозы: „Чистый понедельник“ И. А. Бунина»</a> (в соавторстве с М. Дзюбенко).
Arzamas	448	Вся русская литература XIX века в 230 карточках  •  	['Литература']	Алина Бодрова	07.08.2017	['Шпаргалка', 'XIX век']	http://arzamas.academy/mag/448-literature	Научный сотрудник ИРЛИ (Пушкинский Дом) РАН, старший преподаватель школы филологии факультета гуманитарных наук НИУ ВШЭ	Кандидат филологических наук, редактор третьего тома полного собрания сочинений и писем Е. А. Боратынского (2012), участник подготовки академических собраний сочинений А. С. Пушкина и М. Ю. Лермонтова.
Arzamas	333	«Неистовый любовник» или «Молодец-баба»?  •  	['Литература']	Анастасия Тулякова	12.08.2016	[]	http://arzamas.academy/mag/333-names	Аспирант факультета гуманитарных наук школы филологии НИУ ВШЭ, преподаватель лицея НИУ ВШЭ	
Arzamas	374	Новый лекторий Arzamas и великая литература  •  	['Литература']		02.11.2016	[]	http://arzamas.academy/mag/374-literary-orchestra		
Arzamas	377	Хлысты, скопцы и молокане: чем они отличаются  •  	['История', 'Антропология']	Людмила Жукова	21.11.2016	['Церковь']	http://arzamas.academy/mag/377-sekti	Религиовед	Кандидат культурологии, доцент Центра изучения религий РГГУ.
Arzamas	291	Внимание! Живопись  •  	['Искусство']		20.04.2016	[]	http://arzamas.academy/mag/291-kranahi		
Arzamas	227	Максим Кронгауз. «На смерть пишущей машинки»  •  	['Антропология']		21.12.2015	[]	http://arzamas.academy/mag/227-kronhaus		
