text_id	link	title	date	author	type	filename
29	https://panorama.pub/5369-britanskie-uchyonye-rasskazali-ob-opasnosti-mytya-golovy-shampunem.html	Британские учёные рассказали об опасности мытья головы шампунем	2018-07-31	Виталий Манн	news	D:\Panorama\texts\29.txt
30	https://panorama.pub/5363-mid-rossii-otvetil-kritikam.html	МИД России ответил критикам: &quot;На мнение подпендоснутых ложили большой и дипломатический&quot;	2018-07-31	Борис Гонтермахер	news	D:\Panorama\texts\30.txt
31	https://panorama.pub/5354-kirovchanku-otkazalis-brat.html	Кировчанку отказались брать на работу в школу без справки от участкового священника	2018-07-31	Борис Гонтермахер	news	D:\Panorama\texts\31.txt
32	https://panorama.pub/5355-kanadets-pozhalovalsja-plokhoy-koks-v-rashke.html	Канадский турист пожаловался на низкое качество кокаина в России	2018-07-31	Григорий Касаткин	news	D:\Panorama\texts\32.txt
33	https://panorama.pub/5343-burgomistr-avstrijskogo-goroda-bolee-20-let-pritvoryalsya-zhenshhinoj.html	Бургомистр австрийского города более 20 лет притворялся женщиной	2018-07-30	Виталий Манн	news	D:\Panorama\texts\33.txt
34	https://panorama.pub/5340-kitaj-nachal-postepennoe-snizhenie.html	Китай начал постепенное снижение пенсионного возраста до 50/55 лет	2018-07-30	Борис Гонтермахер	news	D:\Panorama\texts\34.txt
35	https://panorama.pub/5335-porno-altajsk.html	Хулиганы превратили Горно-Алтайск в Порно-Алтайск	2018-07-30	Виталий Манн	news	D:\Panorama\texts\35.txt
36	https://panorama.pub/5326-gollandskaya-aviakompaniya-otmenila-rejs-iz-za-nehvatki-marihuany-na-bortu.html	Голландская авиакомпания отменила рейс из-за нехватки марихуаны на борту	2018-07-29	Виталий Манн	news	D:\Panorama\texts\36.txt
37	https://panorama.pub/5328-v-evrosoyuze-vvedut-indeks-tsennosti.html	В Евросоюзе введут индекс ценности гражданина	2018-07-29	Борис Гонтермахер	news	D:\Panorama\texts\37.txt
38	https://panorama.pub/5321-natsionalnyj-bank-vodki.html	В России за 10 млрд рублей создадут национальный банк водки	2018-07-29	Виталий Манн	news	D:\Panorama\texts\38.txt
39	https://panorama.pub/5314-vo-vgike-otkroetsya-fakultet-dlya-videoblogerov.html	Во ВГИКе откроется факультет для видеоблогеров	2018-07-28	Виталий Манн	news	D:\Panorama\texts\39.txt
40	https://panorama.pub/5306-bot-solzhenitsyn.html	Сотрудники “Эха Москвы” создали бота с именем Солженицын	2018-07-28	Изяслав Тарашкевич	news	D:\Panorama\texts\40.txt
41	https://panorama.pub/5299-facebook-zablokiroval-stranitsu-drezdenskoj-kartinnoj-galerii-za-izobrazhenie-obnazhyonnogo-tela.html	Facebook заблокировал страницу Дрезденской картинной галереи за изображение обнажённого тела	2018-07-27	Виталий Манн	news	D:\Panorama\texts\41.txt
42	https://panorama.pub/5284-estontsu-medal.html	Первого эстонца, полностью прочитавшего &quot;Войну и мир&quot;, наградили медалью	2018-07-27	Виталий Манн	news	D:\Panorama\texts\42.txt
43	https://panorama.pub/5276-sozdateli-populyarnogo-rossijskogo-teleseriala-obvinili-amerikantsev-v-plagiate.html	Создатель популярного российского телесериала обвинил американцев в плагиате	2018-07-26	Виталий Манн	news	D:\Panorama\texts\43.txt
44	https://panorama.pub/5273-samodelnyy-kofe-kopi-lyuvak.html	Россиянин наладил производство самодельного кофе копи-лювак	2018-07-26	Борис Гонтермахер	news	D:\Panorama\texts\44.txt
45	https://panorama.pub/5265-zhurnalisty-s-zaderzhkami.html	В Перми успешно завершилось обучение журналистов с задержками в умственном развитии	2018-07-26	Григорий Касаткин	news	D:\Panorama\texts\45.txt
46	https://panorama.pub/5259-v-velikobritanii-poyavilis-shkoly-s-obyazatelnym-nosheniem-hidzhaba-dlya-devochek.html	В Великобритании появились школы с обязательным ношением хиджаба для девочек	2018-07-25	Виталий Манн	news	D:\Panorama\texts\46.txt
47	https://panorama.pub/5255-dom-muzej-gitlera.html	Дом-музей Гитлера в Вене выпустит книжку &quot;Когда был Гитлер маленький...&quot; о детстве фюрера	2018-07-25	Борис Гонтермахер	news	D:\Panorama\texts\47.txt
48	https://panorama.pub/5206-monsanto-detyam.html	Monsanto объявила о начале всероссийской акции &quot;ГМО - детям&quot;	2018-07-25	Виталий Манн	news	D:\Panorama\texts\48.txt
49	https://panorama.pub/5208-zavod-po-proizvodstvu-golovnyh-uborov-iz-folgi.html	В Улан-Удэ открылся завод по производству головных уборов из фольги	2018-07-25	Герман Томилин	news	D:\Panorama\texts\49.txt
